test_accuracy_percent,data_set,fold_id,algorithm,true_neg,false_pos,false_neg,true_pos
53.528773072747015,spam,0,Naive Bayes,310,254,174,183
88.81650380021715,spam,0,K Nearest Neighbors,518,46,57,300
84.03908794788273,spam,0,Logistic Regression,456,108,39,318
57.934782608695656,spam,1,Naive Bayes,294,240,147,239
86.52173913043478,spam,1,K Nearest Neighbors,482,52,72,314
83.80434782608695,spam,1,Logistic Regression,448,86,63,323
58.913043478260875,spam,2,Naive Bayes,319,228,150,223
86.30434782608695,spam,2,K Nearest Neighbors,497,50,76,297
86.08695652173914,spam,2,Logistic Regression,447,100,28,345
56.95652173913044,spam,3,Naive Bayes,319,255,141,205
88.80434782608695,spam,3,K Nearest Neighbors,521,53,50,296
85.54347826086956,spam,3,Logistic Regression,482,92,41,305
57.934782608695656,spam,4,Naive Bayes,327,242,145,206
87.82608695652175,spam,4,K Nearest Neighbors,509,60,52,299
85.54347826086956,spam,4,Logistic Regression,479,90,43,308
